"Notes"	"County of Residence"	"County of Residence Code"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Education"	"Mother's Education Code"	"NICU Admission"	"NICU Admission Code"	Births	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)
	"Anne Arundel County, MD"	"24003"	"1 prenatal visits"	"1"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	11	0.00%	27.82	38.09	3203.91	25.79	1.00	Not Applicable
	"Anne Arundel County, MD"	"24003"	"1 prenatal visits"	"1"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	11	0.00%	31.55	38.27	3580.91	28.98	1.00	60.00
	"Anne Arundel County, MD"	"24003"	"1 prenatal visits"	"1"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	10	0.00%	31.70	38.90	3297.70	24.80	1.00	26.75
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	12	0.00%	26.33	36.42	3142.25	30.93	2.00	48.27
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	17	0.00%	27.53	36.44	2944.00	24.08	2.00	56.22
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	16	0.00%	28.44	38.69	3442.44	24.79	2.00	33.25
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	13	0.00%	31.46	38.23	3190.92	26.47	2.00	43.09
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	10	0.00%	32.80	36.60	2960.50	27.22	2.00	73.00
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	22	0.01%	32.23	38.77	3356.91	24.90	2.00	28.82
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	21	0.01%	32.48	38.48	3331.57	24.98	2.00	29.91
	"Anne Arundel County, MD"	"24003"	"2 prenatal visits"	"2"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	16	0.00%	36.38	38.06	3388.06	23.27	2.00	39.92
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	12	0.00%	22.25	38.17	3088.92	28.93	3.00	34.80
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	17	0.00%	27.00	38.71	3185.71	26.02	3.00	42.57
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	16	0.00%	27.94	36.62	2928.62	24.82	3.00	57.17
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	38	0.01%	27.63	38.66	3274.87	25.22	3.00	33.43
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	11	0.00%	28.64	37.00	3106.82	26.27	3.00	23.40
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	12	0.00%	32.17	37.67	2959.42	27.15	3.00	66.71
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	22	0.01%	31.95	38.09	3209.14	27.36	3.00	46.00
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	51	0.01%	31.82	39.24	3471.78	26.60	3.00	32.15
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	29	0.01%	32.00	37.62	3285.38	26.72	3.00	25.17
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	10	0.00%	37.70	37.70	3172.20	26.21	3.00	54.29
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	38	0.01%	36.71	38.26	3432.39	25.97	3.00	45.50
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	39	0.01%	36.67	37.85	3317.00	25.81	3.00	41.67
	"Anne Arundel County, MD"	"24003"	"3 prenatal visits"	"3"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	13	0.00%	36.38	38.85	3524.08	25.17	3.00	33.67
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	11	0.00%	18.00	39.09	3227.73	26.89	4.00	21.00
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	25	0.01%	22.32	38.20	3073.68	26.01	4.00	37.70
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	17	0.00%	22.53	39.18	3201.06	26.37	4.00	17.33
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	21	0.01%	26.76	37.62	3230.24	30.57	4.00	40.00
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	22	0.01%	27.45	38.55	3319.73	29.08	4.00	32.57
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	10	0.00%	27.50	35.10	2450.80	27.85	4.00	37.50
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	30	0.01%	27.37	38.13	3312.57	28.09	4.00	23.80
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	13	0.00%	28.15	38.62	3356.92	24.98	4.00	26.00
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	25	0.01%	32.08	38.04	3296.24	30.40	4.00	60.17
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	18	0.01%	31.72	38.50	3441.11	26.11	4.00	48.29
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	12	0.00%	32.25	33.75	2302.50	27.85	4.00	39.75
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	55	0.02%	32.09	38.42	3379.65	25.49	4.00	33.62
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	54	0.02%	32.20	38.31	3339.87	24.90	4.00	34.59
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"30-34 years"	"30-34"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	10	0.00%	32.70	38.20	3138.00	24.88	4.00	41.29
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	11	0.00%	36.82	38.91	3369.09	28.28	4.00	93.00
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	52	0.02%	36.31	38.54	3371.88	24.50	4.00	37.66
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	34	0.01%	36.76	38.74	3416.74	25.42	4.00	48.88
	"Anne Arundel County, MD"	"24003"	"4 prenatal visits"	"4"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	12	0.00%	36.75	38.42	3205.33	25.90	4.00	36.64
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	13	0.00%	21.54	38.31	3176.31	29.38	5.00	28.57
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	30	0.01%	21.83	38.67	3196.57	25.87	5.00	41.10
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	22	0.01%	22.73	38.73	3116.23	24.87	5.00	25.00
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	34	0.01%	27.35	37.88	3219.09	27.69	5.00	33.11
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	28	0.01%	27.39	38.32	3321.54	27.73	5.00	47.62
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	16	0.00%	27.44	38.31	3439.44	24.83	5.00	52.14
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	50	0.01%	27.62	38.84	3394.34	26.07	5.00	28.06
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	15	0.00%	28.00	38.47	3191.80	26.34	5.00	30.50
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	29	0.01%	32.00	37.86	3294.52	28.45	5.00	45.05
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	34	0.01%	32.24	38.41	3302.59	28.70	5.00	54.23
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Associate degree (AA, AS)"	"5"	"No"	"2"	14	0.00%	32.57	37.79	3246.00	25.37	5.00	53.67
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	15	0.00%	32.27	32.73	2236.60	26.37	5.00	41.00
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	93	0.03%	31.87	38.69	3356.82	24.68	5.00	31.33
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"Yes"	"1"	11	0.00%	31.45	30.27	1630.00	27.78	5.00	Not Applicable
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	47	0.01%	32.26	39.15	3419.94	25.93	5.00	34.81
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"30-34 years"	"30-34"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	17	0.00%	31.76	38.88	3439.82	24.86	5.00	26.71
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	14	0.00%	36.71	38.14	3250.57	31.04	5.00	66.50
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	12	0.00%	36.83	38.42	3405.83	29.88	5.00	71.91
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	63	0.02%	36.94	37.89	3162.79	25.68	5.00	47.58
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	44	0.01%	36.84	39.14	3501.48	25.53	5.00	39.56
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	14	0.00%	37.00	39.07	3327.86	25.67	5.00	53.00
	"Anne Arundel County, MD"	"24003"	"5 prenatal visits"	"5"	"40-44 years"	"40-44"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	11	0.00%	40.91	38.45	3555.91	26.77	5.00	46.50
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	26	0.01%	17.23	38.58	3119.00	24.74	6.00	19.50
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	14	0.00%	18.64	38.64	3155.21	25.84	6.00	19.33
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	27	0.01%	21.81	38.41	3133.48	25.47	6.00	31.17
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"Yes"	"1"	12	0.00%	23.08	33.67	2023.75	30.69	6.00	34.00
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	68	0.02%	21.88	38.19	3136.18	26.21	6.00	30.86
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	42	0.01%	22.98	38.88	3337.33	25.67	6.00	32.46
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"20-24 years"	"20-24"	"Associate degree (AA, AS)"	"5"	"No"	"2"	17	0.00%	23.12	38.76	3516.94	23.24	6.00	32.50
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"20-24 years"	"20-24"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	12	0.00%	23.42	38.67	3260.33	26.86	6.00	18.00
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"8th grade or less"	"1"	"No"	"2"	13	0.00%	26.46	38.38	3248.08	27.77	6.00	48.88
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	19	0.01%	27.00	38.53	3162.21	30.59	6.00	50.08
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	77	0.02%	27.09	37.70	3170.03	28.27	6.00	44.69
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	93	0.03%	26.90	38.42	3279.78	27.28	6.00	36.74
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	52	0.02%	27.60	38.60	3296.50	26.28	6.00	36.38
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	12	0.00%	28.25	31.17	1692.08	27.70	6.00	Not Applicable
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	164	0.05%	27.59	38.61	3385.67	25.20	6.00	30.27
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	44	0.01%	27.70	38.98	3452.18	26.77	6.00	25.82
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"8th grade or less"	"1"	"No"	"2"	15	0.00%	31.93	38.47	3260.00	27.22	6.00	86.64
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	18	0.01%	32.39	37.39	2928.39	29.61	6.00	62.38
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"Yes"	"1"	13	0.00%	31.46	34.77	2416.31	27.74	6.00	57.25
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	72	0.02%	31.88	38.00	3132.58	28.05	6.00	64.15
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	14	0.00%	32.64	33.57	2040.00	32.21	6.00	39.00
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	87	0.03%	32.10	38.72	3425.37	29.56	6.00	52.98
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Associate degree (AA, AS)"	"5"	"No"	"2"	66	0.02%	31.77	38.59	3323.50	27.23	6.00	51.07
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	28	0.01%	32.11	33.25	2273.68	26.18	6.00	38.20
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	378	0.11%	32.02	38.94	3446.48	25.04	6.00	35.51
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"Yes"	"1"	13	0.00%	31.62	31.08	1699.00	29.26	6.00	41.50
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	241	0.07%	31.98	38.82	3437.43	25.49	6.00	33.67
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"30-34 years"	"30-34"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	53	0.02%	32.38	38.70	3319.96	23.95	6.00	27.41
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"8th grade or less"	"1"	"No"	"2"	13	0.00%	36.46	37.69	3212.54	28.15	6.00	52.75
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	11	0.00%	36.64	38.00	3073.36	27.81	6.00	65.90
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	34	0.01%	36.68	38.09	3182.47	29.77	6.00	72.62
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	49	0.01%	36.63	38.63	3349.80	27.37	6.00	70.53
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"Associate degree (AA, AS)"	"5"	"No"	"2"	28	0.01%	36.39	38.11	3236.61	30.34	6.00	41.53
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	20	0.01%	37.15	32.90	2319.25	27.93	6.00	35.09
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	218	0.06%	36.35	38.79	3400.17	25.14	6.00	42.27
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	193	0.06%	36.55	38.70	3399.67	26.16	6.00	40.47
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	60	0.02%	36.92	39.13	3522.23	24.90	6.00	33.31
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"40-44 years"	"40-44"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	28	0.01%	41.11	37.96	3324.54	25.07	6.00	57.44
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"40-44 years"	"40-44"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	30	0.01%	41.20	38.50	3325.80	26.56	6.00	37.58
	"Anne Arundel County, MD"	"24003"	"6 prenatal visits"	"6"	"40-44 years"	"40-44"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	12	0.00%	41.17	38.67	3559.92	25.04	6.00	32.43
	"Anne Arundel County, MD"	"24003"	"7 prenatal visits"	"7"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	26	0.01%	17.69	38.54	3166.04	24.89	7.00	17.75
	"Anne Arundel County, MD"	"24003"	"7 prenatal visits"	"7"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	12	0.00%	18.25	38.67	3161.33	24.28	7.00	11.00
	"Anne Arundel County, MD"	"24003"	"7 prenatal visits"	"7"	"20-24 years"	"20-24"	"8th grade or less"	"1"	"No"	"2"	12	0.00%	22.17	38.17	3036.25	29.48	7.00	48.57
	"Anne Arundel County, MD"	"24003"	"7 prenatal visits"	"7"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	13	0.00%	22.00	38.77	3253.38	23.78	7.00	32.75
	"Anne Arundel County, MD"	"24003"	"7 prenatal visits"	"7"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	71	0.02%	22.28	38.14	3110.55	27.46	7.00	33.19
	"Anne Arundel County, MD"	"24003"	"7 prenatal visits"	"7"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	43	0.01%	22.91	38.40	3156.35	26.00	7.00	30.33
